Student_ID,Age,Grade_Level,Prior_CT_Experience,Tool_Used,Abstraction_Score,Algorithmic_Thinking_Score,Decomposition_Score,Pattern_Recognition_Score,Debugging_Score,Creative_Expression_Score,Tool_Session_Count,Time_Spent_Per_Session,Tasks_Completed,Tool_Features_Used,Lines_of_Code,Pre_Test_Score,Post_Test_Score,Improvement_Score,Critical_Thinking_Score,Collaboration_Score,Engagement_Level,Motivation_Score,Error_Rate,Feedback_Received,Skill_Improvement_Category,CT_Mastery_Level,Tool_Effectiveness
S02521,23,High,None,Python,3,2,5,2,5,3,4,51,14,3,146,53,68,15,3,4,4,3,2,3,2,Expert,Medium
S02522,34,Middle,None,Micro:bit,5,3,3,2,1,3,8,25,8,5,318,63,84,21,4,5,5,4,5,4,1,Proficient,Medium
S02523,33,High,Intermediate,Python,4,2,2,3,2,5,3,49,6,4,147,69,85,16,5,5,4,4,6,3,1,Proficient,Medium
S02524,20,Middle,Beginner,Scratch,4,4,4,3,2,4,8,27,18,3,366,52,64,12,2,3,5,4,3,3,1,Expert,Medium
S02525,25,High,None,Micro:bit,3,2,2,5,3,4,6,47,15,4,202,59,84,25,4,5,5,4,4,1,2,Developing,Low
S02526,20,High,Intermediate,Python,3,5,4,3,1,3,7,51,5,4,150,45,64,19,2,3,5,3,2,4,1,Proficient,Low
S02527,25,Middle,Intermediate,Micro:bit,3,5,3,4,2,4,10,27,20,4,297,62,79,17,3,4,4,3,3,1,2,Beginner,Medium
S02528,18,Middle,None,Scratch,3,5,1,3,2,3,7,54,17,4,172,62,80,18,3,4,5,2,2,4,2,Proficient,High
S02529,20,Middle,Intermediate,Scratch,5,2,3,3,5,4,3,43,17,2,262,70,81,11,4,5,3,5,3,4,1,Developing,Medium
S02530,31,High,Beginner,Micro:bit,3,2,5,2,3,5,9,54,16,2,326,57,76,19,2,4,5,5,3,4,2,Beginner,High
S02531,22,Middle,None,Blockly,5,2,1,2,4,4,10,47,16,5,120,54,66,12,5,3,5,5,5,4,1,Developing,Low
S02532,33,Middle,Intermediate,Blockly,4,4,5,3,4,4,9,38,17,5,484,51,67,16,2,3,4,4,4,2,2,Developing,Medium
S02533,21,High,Intermediate,Blockly,4,5,1,4,3,4,3,31,6,5,473,44,57,13,2,3,5,4,5,4,1,Developing,Medium
S02534,21,Middle,Intermediate,Micro:bit,5,4,2,4,2,5,3,51,6,5,193,68,90,22,2,4,4,2,2,2,2,Beginner,High
S02535,35,Middle,None,Python,5,2,1,5,5,5,3,38,19,2,494,47,70,23,5,5,4,4,3,2,1,Expert,Low
S02536,26,Middle,Beginner,Scratch,2,4,5,5,3,3,3,52,12,5,255,47,66,19,5,3,3,3,2,2,1,Developing,Low
S02537,27,Middle,Beginner,Python,2,2,3,3,5,4,10,58,20,5,249,54,67,13,3,4,5,5,2,1,2,Developing,Medium
S02538,33,High,None,Python,4,3,5,3,1,3,4,42,10,4,492,60,77,17,2,5,4,2,6,1,2,Developing,Low
S02539,34,High,Intermediate,Blockly,5,3,2,4,5,4,8,33,19,4,435,54,75,21,4,4,3,4,3,4,1,Beginner,Low
S02540,12,Middle,None,Blockly,5,5,2,5,5,4,6,54,7,5,443,53,70,17,3,4,5,3,6,4,1,Beginner,High
S02541,20,High,Beginner,Micro:bit,5,5,5,2,1,4,6,48,9,4,252,55,70,15,5,3,4,3,2,3,2,Developing,Medium
S02542,28,Middle,None,Python,2,4,3,3,3,5,9,56,19,2,327,68,82,14,3,5,4,5,3,4,1,Beginner,Low
S02543,13,Middle,None,Blockly,2,3,2,2,1,4,9,57,15,2,374,70,91,21,2,4,5,2,6,2,1,Developing,High
S02544,27,Middle,None,Blockly,4,2,5,3,3,3,9,47,14,2,86,46,70,24,2,5,3,4,6,1,1,Developing,Medium
S02545,22,Middle,None,Python,4,5,2,3,3,5,6,35,10,4,237,56,76,20,2,3,5,3,4,2,1,Beginner,High
S02546,32,Middle,Beginner,Blockly,2,2,2,2,4,4,4,27,12,3,231,58,74,16,4,3,3,2,4,3,2,Proficient,Medium
S02547,32,Middle,Intermediate,Blockly,3,5,4,2,3,5,9,39,17,4,126,70,82,12,2,3,5,3,5,2,2,Beginner,Low
S02548,16,High,Beginner,Python,2,5,3,5,3,3,4,56,13,4,358,51,75,24,4,3,5,5,5,1,2,Beginner,Low
S02549,34,Middle,Intermediate,Micro:bit,4,2,5,2,4,5,10,49,8,5,329,68,87,19,4,5,3,4,3,3,1,Beginner,Low
S02550,25,High,None,Micro:bit,2,2,2,2,1,5,10,49,9,4,319,43,56,13,3,5,3,4,3,4,2,Expert,Low
S02551,28,High,Beginner,Scratch,3,4,3,5,1,4,7,46,9,3,129,61,72,11,2,4,4,2,4,2,1,Expert,Low
S02552,29,Middle,None,Micro:bit,3,2,3,5,5,4,4,42,6,3,417,65,89,24,4,5,5,3,5,1,2,Beginner,High
S02553,33,Middle,Intermediate,Micro:bit,3,5,5,5,5,5,3,51,9,2,139,64,87,23,5,5,4,4,3,4,2,Proficient,High
S02554,17,Middle,Beginner,Python,4,5,1,4,1,5,3,31,13,4,217,48,65,17,5,3,4,5,5,2,1,Expert,Low
S02555,13,Middle,None,Python,5,3,2,3,2,3,7,33,9,5,445,57,79,22,2,3,5,5,3,2,1,Developing,Low
S02556,30,High,Intermediate,Python,4,3,4,2,3,5,6,36,17,4,324,63,85,22,4,5,4,3,4,4,2,Beginner,Low
S02557,16,High,Beginner,Micro:bit,2,4,4,4,2,5,8,44,18,3,198,46,59,13,5,4,4,5,6,3,1,Beginner,Medium
S02558,34,High,Intermediate,Blockly,5,5,1,3,3,4,8,52,13,2,398,62,82,20,3,5,5,3,4,4,1,Expert,High
S02559,31,Middle,None,Python,5,3,5,3,4,3,7,49,17,5,93,43,58,15,5,5,3,3,2,1,2,Proficient,Low
S02560,18,Middle,Intermediate,Scratch,5,4,5,2,1,3,5,35,19,4,335,68,87,19,5,3,4,3,6,4,2,Expert,Medium
S02561,18,Middle,None,Micro:bit,2,5,1,3,3,5,10,40,10,2,277,68,91,23,4,5,4,3,6,1,2,Proficient,Low
S02562,13,High,Intermediate,Python,4,5,2,2,1,4,8,42,9,3,138,62,81,19,4,3,5,5,6,2,2,Expert,Medium
S02563,14,Middle,Intermediate,Python,2,5,4,3,2,5,9,44,5,4,450,49,67,18,5,4,3,4,6,3,2,Beginner,Low
S02564,24,High,Beginner,Micro:bit,3,2,3,3,2,3,9,45,5,3,261,70,95,25,2,5,3,2,2,3,2,Developing,Medium
S02565,32,Middle,Intermediate,Scratch,3,5,1,4,2,5,3,54,8,4,188,58,82,24,2,5,4,4,5,3,1,Proficient,Low
S02566,25,Middle,None,Micro:bit,5,5,2,5,1,3,4,34,13,5,260,40,62,22,3,4,5,4,4,4,1,Beginner,High
S02567,17,Middle,None,Python,2,4,3,4,2,4,8,48,18,2,153,52,75,23,3,3,4,3,6,2,2,Expert,Low
S02568,33,Middle,None,Blockly,3,3,4,4,3,4,6,52,7,3,426,51,69,18,2,3,3,5,5,4,2,Developing,High
S02569,26,High,Beginner,Micro:bit,2,5,5,2,2,5,3,47,16,3,100,45,65,20,3,5,3,3,5,1,1,Beginner,Medium
S02570,15,High,None,Micro:bit,4,5,2,2,4,5,3,48,19,2,394,60,70,10,2,5,5,4,4,4,1,Expert,High
S02571,34,High,Beginner,Scratch,4,3,1,2,1,4,3,42,12,5,154,46,60,14,3,3,4,3,2,2,1,Proficient,High
S02572,30,Middle,None,Micro:bit,5,4,4,2,5,3,4,44,10,2,488,55,72,17,3,3,4,3,5,2,1,Beginner,Medium
S02573,30,High,None,Python,4,2,1,2,1,5,4,38,18,2,497,62,84,22,5,4,3,3,5,3,2,Developing,Medium
S02574,17,Middle,None,Python,3,3,5,4,4,3,6,58,19,3,152,67,86,19,2,5,3,4,3,4,1,Beginner,Medium
S02575,14,High,None,Python,4,2,5,3,4,4,9,27,9,2,159,50,64,14,3,5,3,5,4,1,1,Proficient,High
S02576,20,High,Beginner,Micro:bit,2,2,1,5,4,4,6,31,18,3,221,42,54,12,2,4,3,3,2,4,1,Expert,Low
S02577,23,Middle,Beginner,Micro:bit,5,4,5,4,2,5,9,58,20,2,251,48,70,22,5,4,4,4,2,4,1,Developing,Medium
S02578,18,Middle,None,Scratch,2,2,3,4,2,3,8,46,8,5,323,68,87,19,5,3,4,4,6,2,2,Developing,Low
S02579,12,Middle,Intermediate,Micro:bit,2,4,1,4,2,4,4,30,11,2,256,48,64,16,2,3,3,2,3,4,1,Expert,High
S02580,14,High,Intermediate,Python,4,5,1,2,4,3,10,58,9,5,350,62,74,12,2,4,3,3,2,1,2,Proficient,High
S02581,24,Middle,Intermediate,Scratch,5,3,2,2,5,4,9,38,17,4,306,54,66,12,5,5,4,3,5,1,1,Proficient,Low
S02582,26,High,Beginner,Scratch,4,4,5,2,3,4,8,29,15,2,148,51,71,20,2,3,3,2,2,1,2,Developing,High
S02583,20,Middle,None,Blockly,5,5,2,2,4,3,3,55,5,2,472,57,72,15,3,4,5,3,6,3,2,Developing,High
S02584,21,Middle,Beginner,Blockly,5,3,4,4,2,5,6,37,17,4,479,41,62,21,4,5,3,4,5,4,2,Developing,Medium
S02585,32,Middle,Intermediate,Micro:bit,4,5,2,4,3,4,6,36,18,4,270,42,58,16,2,5,5,3,4,1,2,Developing,Low
S02586,31,Middle,Intermediate,Micro:bit,3,4,1,3,2,3,5,46,16,5,275,61,78,17,3,4,5,5,4,1,2,Developing,High
S02587,17,High,Intermediate,Micro:bit,2,3,2,3,1,3,7,38,13,2,189,59,75,16,4,4,4,2,3,1,2,Proficient,High
S02588,34,High,None,Blockly,2,4,5,2,5,4,3,57,14,3,228,46,61,15,3,5,5,2,2,3,1,Proficient,High
S02589,30,High,None,Blockly,2,2,5,3,1,5,8,57,19,4,337,50,62,12,5,5,3,3,6,4,1,Proficient,Medium
S02590,35,Middle,None,Python,5,5,5,2,3,4,5,49,14,5,416,67,84,17,2,4,5,2,4,3,2,Expert,Low
S02591,21,Middle,Beginner,Blockly,4,2,1,5,3,3,3,48,9,2,277,53,65,12,5,5,4,2,6,1,2,Beginner,Medium
S02592,24,High,Beginner,Blockly,2,5,3,5,1,5,6,53,15,5,149,51,67,16,4,3,3,2,2,3,2,Proficient,High
S02593,23,Middle,None,Blockly,5,5,3,2,4,5,10,29,9,2,142,55,80,25,2,5,5,5,3,3,2,Expert,Low
S02594,17,High,Beginner,Scratch,5,3,1,5,1,3,5,30,13,5,346,54,67,13,2,4,5,4,3,3,2,Beginner,Medium
S02595,23,High,None,Micro:bit,3,3,5,4,2,3,5,39,14,3,255,63,82,19,2,3,4,5,5,1,1,Beginner,Low
S02596,30,High,None,Scratch,3,4,1,3,5,5,10,43,6,4,234,61,83,22,2,3,4,3,6,3,2,Proficient,High
S02597,29,Middle,None,Python,2,2,5,4,5,5,8,29,12,5,273,60,72,12,5,3,3,3,6,2,2,Developing,Medium
S02598,23,High,Intermediate,Blockly,3,4,1,2,1,3,6,40,14,4,434,44,63,19,3,5,4,3,3,3,2,Expert,High
S02599,14,Middle,Beginner,Scratch,5,2,5,2,3,4,6,51,20,2,250,70,93,23,4,4,3,3,3,3,2,Expert,High
S02600,27,Middle,Beginner,Blockly,2,2,1,2,4,4,4,35,16,3,384,69,93,24,3,3,3,3,5,3,2,Developing,Low
S02601,29,High,Intermediate,Python,3,3,4,5,2,3,4,38,6,3,496,69,86,17,3,5,4,2,4,2,2,Proficient,Medium
S02602,27,High,None,Python,2,3,3,4,1,4,5,55,8,3,158,60,84,24,4,5,5,3,6,1,2,Proficient,Low
S02603,25,High,Intermediate,Scratch,3,5,4,5,3,3,10,48,12,2,274,52,75,23,5,4,4,5,4,3,1,Beginner,Medium
S02604,13,High,Beginner,Blockly,4,3,1,4,2,5,4,42,13,3,424,61,75,14,4,3,4,2,6,4,1,Beginner,Medium
S02605,17,High,Intermediate,Micro:bit,2,4,5,3,4,3,5,29,6,5,320,62,75,13,3,4,5,5,3,4,1,Beginner,Medium
S02606,29,High,Beginner,Scratch,3,3,5,4,2,4,7,25,6,3,300,62,72,10,3,5,5,2,6,1,1,Expert,Low
S02607,23,Middle,Intermediate,Scratch,4,5,1,3,3,4,9,32,19,3,430,40,51,11,2,4,5,3,5,2,1,Developing,Medium
S02608,20,High,Intermediate,Micro:bit,4,2,4,5,5,4,7,35,10,4,411,54,67,13,3,5,4,3,2,4,1,Developing,High
S02609,30,Middle,Intermediate,Micro:bit,2,3,4,3,3,4,8,31,11,2,207,69,91,22,4,4,4,5,4,2,1,Developing,Medium
S02610,34,High,None,Python,5,5,3,4,5,4,8,36,16,5,359,46,58,12,2,3,5,4,5,3,1,Expert,High
S02611,19,High,None,Micro:bit,2,5,1,4,5,5,5,33,16,2,104,44,62,18,2,4,4,4,6,2,1,Proficient,High
S02612,12,High,Beginner,Scratch,3,3,5,4,1,3,6,31,19,5,374,57,82,25,5,3,3,3,4,4,2,Proficient,High
S02613,29,Middle,None,Blockly,3,4,2,5,3,3,6,33,13,4,451,42,60,18,3,4,4,4,5,3,1,Proficient,Medium
S02614,23,Middle,Beginner,Micro:bit,3,3,5,2,3,5,4,31,7,2,309,44,59,15,3,5,4,4,3,1,2,Developing,Medium
S02615,29,High,Beginner,Blockly,3,5,2,4,4,5,6,29,13,2,416,56,76,20,3,3,3,3,5,4,2,Beginner,High
S02616,32,High,Beginner,Scratch,5,2,5,4,2,4,10,37,14,4,273,63,78,15,2,4,3,5,4,3,1,Proficient,Low
S02617,21,Middle,None,Python,3,2,1,3,3,5,10,54,5,4,255,50,71,21,5,5,4,5,5,4,1,Developing,Medium
S02618,33,High,None,Blockly,5,2,5,5,3,4,3,42,13,2,253,56,80,24,2,3,4,4,2,2,2,Beginner,Low
S02619,19,Middle,None,Blockly,2,5,1,3,2,4,7,46,19,5,321,43,66,23,2,3,4,5,3,3,1,Developing,Medium
S02620,33,High,Beginner,Blockly,2,4,4,2,1,3,3,49,14,3,384,54,71,17,5,3,3,4,2,1,1,Expert,High
S02621,25,Middle,None,Scratch,3,2,1,2,1,5,5,45,8,4,386,59,78,19,5,5,3,4,4,2,2,Expert,High
S02622,16,High,None,Python,2,3,3,2,5,4,8,54,12,3,332,57,68,11,2,4,3,4,5,2,2,Developing,Low
S02623,15,High,None,Micro:bit,2,3,1,4,4,5,9,33,13,3,453,54,77,23,5,5,3,5,4,4,2,Expert,Medium
S02624,14,High,Intermediate,Micro:bit,4,4,5,2,3,4,10,25,9,4,426,65,75,10,4,3,4,4,3,1,1,Developing,High
S02625,33,High,Intermediate,Micro:bit,4,3,5,2,5,5,6,43,5,3,210,62,85,23,3,3,3,3,2,1,1,Expert,High
S02626,28,Middle,Beginner,Scratch,3,5,2,3,1,3,5,36,19,3,387,63,83,20,5,5,4,2,2,1,1,Developing,Low
S02627,26,Middle,None,Scratch,4,5,3,2,2,5,5,57,17,2,439,65,80,15,3,5,4,4,4,1,1,Proficient,High
S02628,30,Middle,Beginner,Scratch,2,2,5,3,4,3,5,51,14,2,124,40,52,12,4,4,5,4,4,4,1,Beginner,Medium
S02629,30,High,Intermediate,Micro:bit,5,5,2,5,2,5,10,52,13,3,451,69,85,16,2,3,3,4,5,4,1,Developing,Medium
S02630,26,High,Intermediate,Scratch,2,2,1,4,2,4,3,50,8,4,469,64,84,20,5,4,5,2,4,1,1,Expert,High
S02631,30,Middle,Intermediate,Scratch,5,3,2,3,1,3,10,47,7,2,491,49,74,25,4,3,5,4,5,1,1,Proficient,Low
S02632,18,Middle,Beginner,Python,3,3,5,4,1,4,5,55,7,5,463,63,82,19,5,3,4,2,3,2,2,Expert,Low
S02633,33,Middle,Intermediate,Blockly,4,3,3,4,4,4,9,49,10,3,459,60,82,22,5,5,4,5,3,1,1,Beginner,Low
S02634,21,High,Beginner,Scratch,3,3,3,3,1,4,10,41,11,5,202,57,82,25,5,3,5,2,5,2,1,Developing,Medium
S02635,33,Middle,Intermediate,Python,4,2,2,3,3,3,3,57,8,5,83,64,75,11,3,4,5,5,2,1,2,Developing,Low
S02636,15,High,Beginner,Micro:bit,4,3,2,3,1,5,4,41,19,4,155,53,70,17,4,3,5,4,4,1,1,Proficient,Medium
S02637,18,Middle,Beginner,Scratch,5,4,5,2,4,5,5,54,6,5,199,45,61,16,4,3,5,5,4,1,1,Beginner,High
S02638,17,Middle,None,Scratch,5,4,2,3,2,4,9,28,18,5,96,49,62,13,4,4,4,4,5,4,2,Developing,Low
S02639,12,High,Beginner,Blockly,3,3,3,3,3,3,6,31,8,3,376,62,72,10,5,4,3,5,6,3,1,Developing,Medium
S02640,15,High,Beginner,Python,5,2,1,2,5,4,6,41,5,4,153,57,81,24,4,4,5,3,4,1,1,Proficient,High
S02641,25,Middle,Intermediate,Micro:bit,5,4,5,3,4,4,4,40,5,5,331,61,85,24,5,4,5,5,3,4,2,Expert,Medium
S02642,21,Middle,None,Micro:bit,4,5,1,2,4,3,10,57,8,4,149,46,66,20,2,4,4,3,2,3,1,Proficient,Low
S02643,20,Middle,Beginner,Scratch,2,5,5,2,5,3,6,28,17,3,431,41,64,23,2,4,3,5,5,4,1,Expert,Medium
S02644,24,Middle,Beginner,Python,5,4,2,3,1,4,7,27,5,5,339,66,79,13,3,5,5,5,3,3,1,Developing,High
S02645,25,High,Beginner,Scratch,3,4,5,3,4,5,6,27,16,5,168,40,61,21,2,3,3,5,5,4,1,Expert,Medium
S02646,13,High,None,Micro:bit,2,3,1,3,3,5,9,58,19,2,129,69,85,16,3,4,3,3,2,3,2,Expert,Low
S02647,13,High,Beginner,Micro:bit,5,2,1,5,4,3,6,50,12,3,133,41,65,24,2,5,5,4,5,3,2,Proficient,Low
S02648,34,High,None,Micro:bit,3,5,5,2,5,4,10,30,15,2,307,49,67,18,4,5,3,3,4,2,2,Developing,High
S02649,16,High,Intermediate,Blockly,4,4,4,2,4,4,6,53,12,3,472,54,77,23,2,5,3,2,2,3,1,Expert,High
S02650,13,Middle,Beginner,Python,5,5,2,5,3,3,8,28,17,4,186,52,67,15,2,4,3,2,6,2,2,Beginner,Medium
S02651,13,High,Intermediate,Blockly,2,3,5,5,1,5,8,54,12,5,444,49,63,14,5,5,5,4,6,2,1,Expert,Low
S02652,17,Middle,Beginner,Blockly,5,3,1,3,2,5,8,54,9,4,448,57,70,13,3,3,3,5,5,1,2,Developing,Medium
S02653,12,Middle,None,Blockly,2,2,2,4,1,3,8,43,13,4,115,67,84,17,3,4,3,3,6,2,1,Proficient,Medium
S02654,20,High,Beginner,Python,5,2,3,5,4,3,7,33,19,5,226,56,73,17,5,4,4,5,6,4,1,Beginner,Low
S02655,29,Middle,Beginner,Python,2,5,5,3,1,3,5,43,19,2,92,43,68,25,5,3,4,5,3,1,1,Expert,High
S02656,35,Middle,None,Micro:bit,2,2,5,5,5,3,5,55,6,5,469,63,82,19,4,3,3,3,4,1,1,Proficient,Medium
S02657,20,Middle,None,Python,2,3,5,4,4,3,4,37,20,5,294,47,61,14,4,4,5,3,6,1,2,Developing,Low
S02658,13,Middle,Intermediate,Blockly,5,5,1,4,4,4,5,44,10,3,80,59,84,25,3,5,3,2,5,1,1,Proficient,Medium
S02659,29,Middle,Intermediate,Micro:bit,3,2,4,3,3,5,6,53,6,2,126,68,89,21,2,3,5,2,6,4,1,Developing,High
S02660,24,Middle,Beginner,Scratch,2,2,2,3,5,3,4,33,6,3,248,48,71,23,2,4,4,5,3,4,1,Proficient,Medium
S02661,27,High,Intermediate,Micro:bit,2,5,1,4,5,3,4,25,16,5,129,40,56,16,5,4,3,5,5,4,1,Proficient,Low
S02662,22,Middle,None,Micro:bit,3,4,2,2,5,5,10,39,14,4,308,65,85,20,4,5,4,3,4,4,1,Expert,Low
S02663,24,High,None,Micro:bit,2,5,2,4,5,3,7,26,15,5,111,43,61,18,2,4,3,2,4,2,1,Expert,Medium
S02664,15,High,Intermediate,Blockly,2,3,5,4,2,4,4,55,6,2,390,66,86,20,3,5,5,2,4,2,2,Proficient,High
S02665,34,High,Intermediate,Micro:bit,3,2,3,3,3,3,8,25,12,5,128,64,84,20,4,5,5,4,4,3,1,Proficient,Medium
S02666,33,Middle,Beginner,Blockly,4,3,3,5,1,3,3,33,14,2,338,48,69,21,4,3,4,5,6,4,2,Developing,High
S02667,32,Middle,Intermediate,Blockly,3,3,3,3,2,4,8,55,20,5,318,48,63,15,2,4,4,3,4,4,2,Proficient,Low
S02668,32,Middle,Intermediate,Python,4,4,3,5,4,5,8,41,14,2,288,53,73,20,3,3,5,4,6,3,1,Developing,Medium
S02669,33,Middle,Beginner,Micro:bit,4,3,3,3,1,4,6,54,7,2,401,59,75,16,5,3,5,4,5,3,2,Beginner,Medium
S02670,15,High,Beginner,Blockly,5,4,4,5,3,3,5,40,10,5,209,46,70,24,5,3,4,3,2,2,2,Proficient,Low
S02671,24,High,None,Scratch,3,5,1,2,4,4,8,29,19,4,465,49,70,21,3,3,3,4,4,2,1,Expert,Low
S02672,28,High,Intermediate,Python,5,4,2,2,5,5,9,46,16,4,476,63,80,17,3,4,5,5,6,2,1,Developing,Medium
S02673,27,Middle,Intermediate,Scratch,5,3,5,2,2,3,8,30,8,3,191,47,58,11,3,3,5,3,6,3,2,Expert,High
S02674,26,High,None,Scratch,4,4,4,4,3,5,7,55,5,4,243,55,75,20,2,4,3,5,5,3,2,Developing,High
S02675,16,High,Intermediate,Blockly,3,3,4,2,4,5,10,60,11,2,182,45,59,14,2,4,5,4,5,3,2,Proficient,Medium
S02676,24,High,None,Scratch,4,3,2,4,2,3,8,45,9,2,84,60,82,22,5,3,3,5,3,1,1,Proficient,High
S02677,32,High,None,Micro:bit,2,3,2,5,2,5,5,31,11,3,476,45,58,13,5,5,5,5,2,3,1,Proficient,Low
S02678,14,High,Beginner,Micro:bit,3,4,2,5,3,4,3,47,17,2,369,63,81,18,4,4,3,4,3,4,2,Beginner,Low
S02679,32,High,None,Python,4,4,4,5,2,3,5,32,12,5,468,51,72,21,4,4,4,4,5,2,1,Developing,High
S02680,16,Middle,Beginner,Scratch,2,5,1,3,5,3,8,35,6,2,466,40,53,13,3,3,3,5,2,4,1,Beginner,Low
S02681,34,Middle,Beginner,Blockly,5,3,2,5,4,3,5,44,11,3,100,58,76,18,4,5,3,2,6,2,2,Beginner,High
S02682,13,High,None,Scratch,4,2,2,3,2,4,4,60,20,2,461,64,85,21,4,3,3,5,6,4,2,Proficient,Medium
S02683,20,Middle,Intermediate,Python,4,3,5,4,2,5,4,56,15,5,120,55,73,18,4,3,5,3,4,4,2,Developing,High
S02684,35,Middle,Intermediate,Python,5,3,3,2,2,5,3,56,13,5,198,70,92,22,3,4,5,2,6,3,1,Proficient,High
S02685,27,High,None,Micro:bit,2,2,3,5,1,3,5,36,5,2,141,43,63,20,4,4,3,3,6,4,1,Expert,High
S02686,30,High,None,Scratch,5,3,4,5,3,5,7,57,5,3,400,66,80,14,5,3,4,4,6,2,2,Beginner,Low
S02687,20,Middle,Beginner,Scratch,3,5,5,4,3,4,4,32,9,4,403,62,85,23,2,5,4,3,4,2,1,Proficient,High
S02688,35,Middle,Intermediate,Scratch,4,5,1,2,5,4,3,29,10,4,308,66,89,23,5,3,4,4,4,2,1,Beginner,Low
S02689,24,Middle,None,Micro:bit,2,5,3,2,4,4,8,26,14,5,234,52,70,18,5,4,4,3,2,3,1,Expert,High
S02690,26,High,None,Python,4,3,2,4,3,3,6,25,18,2,495,49,70,21,3,5,4,4,5,1,2,Developing,High
S02691,12,Middle,Intermediate,Micro:bit,4,4,3,2,1,4,10,42,16,3,248,67,83,16,4,3,4,5,2,3,2,Developing,High
S02692,13,High,None,Python,5,2,1,3,5,5,6,32,14,2,216,49,60,11,3,5,3,4,6,1,1,Beginner,Medium
S02693,26,Middle,Intermediate,Scratch,3,2,5,3,2,4,6,38,10,5,472,69,89,20,4,3,4,3,6,1,1,Beginner,Low
S02694,16,Middle,None,Scratch,4,5,2,2,4,3,7,48,19,5,448,42,59,17,4,4,3,2,3,1,1,Expert,High
S02695,26,High,Intermediate,Python,5,2,5,3,3,3,8,58,20,3,449,67,80,13,4,5,5,5,2,1,2,Proficient,High
S02696,23,Middle,None,Python,5,5,3,5,5,5,10,33,10,3,339,61,81,20,3,4,4,5,4,2,1,Proficient,High
S02697,17,High,None,Micro:bit,5,5,3,2,3,4,7,49,5,3,167,70,93,23,4,5,5,3,5,2,2,Developing,Low
S02698,30,High,Intermediate,Micro:bit,4,3,3,5,3,4,5,50,10,2,200,66,77,11,2,3,4,5,2,4,1,Expert,High
S02699,14,Middle,Intermediate,Scratch,4,2,3,5,1,5,7,32,7,3,87,53,74,21,5,5,3,5,3,2,1,Beginner,Low
S02700,25,Middle,None,Micro:bit,5,3,5,2,1,4,7,31,6,5,408,63,80,17,5,4,4,2,5,4,2,Proficient,Medium
S02701,14,High,Intermediate,Blockly,3,3,5,2,5,3,7,53,20,4,256,58,75,17,4,3,4,2,4,4,2,Beginner,High
S02702,31,Middle,Intermediate,Scratch,5,3,3,3,4,3,5,47,18,5,144,43,55,12,4,3,5,5,4,4,2,Expert,Low
S02703,13,Middle,Beginner,Blockly,4,5,1,3,4,3,8,54,12,2,80,54,73,19,3,5,4,4,6,2,2,Proficient,Medium
S02704,32,Middle,Beginner,Micro:bit,4,4,5,2,4,4,10,60,7,4,449,70,82,12,5,4,4,2,5,1,1,Beginner,Medium
S02705,24,Middle,None,Micro:bit,4,5,3,2,5,3,9,54,20,2,219,64,83,19,3,3,5,4,3,2,1,Developing,Low
S02706,12,Middle,Intermediate,Scratch,3,5,2,5,3,4,7,32,10,5,169,66,78,12,5,5,4,4,4,1,1,Proficient,Low
S02707,32,Middle,Beginner,Micro:bit,5,3,1,2,3,3,9,39,20,5,357,63,80,17,5,3,3,4,3,4,2,Developing,Medium
S02708,35,High,None,Python,3,5,2,4,2,4,7,29,5,5,152,47,64,17,5,5,3,5,6,1,2,Expert,Medium
S02709,25,High,Beginner,Micro:bit,2,2,4,3,1,5,7,35,13,4,253,66,77,11,4,4,5,5,2,4,1,Proficient,Medium
S02710,30,High,None,Python,2,2,5,4,5,5,6,28,14,5,227,65,90,25,3,3,5,5,3,4,2,Expert,High
S02711,25,High,Intermediate,Python,2,2,5,3,5,5,5,57,13,3,315,70,82,12,5,3,5,3,3,2,2,Developing,High
S02712,29,Middle,Beginner,Python,5,5,1,4,4,5,3,56,18,2,495,40,59,19,2,3,3,5,6,3,2,Proficient,High
S02713,22,High,Intermediate,Python,4,5,1,3,4,5,8,26,19,2,385,50,65,15,3,3,3,2,4,1,1,Developing,High
S02714,27,High,Beginner,Blockly,5,4,4,5,4,3,10,55,7,4,325,59,74,15,2,4,3,3,3,3,1,Proficient,High
S02715,19,Middle,Beginner,Micro:bit,4,5,5,3,1,5,7,53,7,5,316,60,82,22,2,3,5,2,6,2,1,Expert,High
S02716,32,Middle,Beginner,Python,4,3,5,3,2,5,7,25,16,3,362,55,79,24,3,4,5,4,5,4,2,Developing,High
S02717,33,Middle,Beginner,Micro:bit,5,2,3,5,5,4,5,60,13,2,185,40,60,20,3,5,4,5,6,1,2,Expert,Low
S02718,22,Middle,None,Scratch,5,2,1,3,1,4,5,54,8,2,158,69,83,14,5,5,3,5,2,2,2,Proficient,Medium
S02719,16,Middle,None,Micro:bit,2,4,3,5,1,3,7,57,6,4,390,59,82,23,4,5,4,4,2,3,2,Developing,Medium
S02720,21,Middle,Intermediate,Python,2,4,3,3,5,3,7,41,5,3,431,46,57,11,5,5,3,4,5,2,1,Developing,High
S02721,34,High,Intermediate,Python,4,4,4,4,1,5,4,50,12,4,125,56,77,21,5,5,4,2,2,3,1,Expert,Low
S02722,14,Middle,None,Micro:bit,2,2,2,4,4,3,9,49,16,4,100,48,66,18,2,4,4,2,6,4,1,Expert,Low
